Username,Subscriptors
UCD10IuhShw9pNOBZp-EYdyw,2370
BayerCropScienceIT,828
BDCorporate,2030
TheBraccoGroup,58
ColoplastSpa,948
DOCgenerici,81
UCvRAwdZ2a8fprX4aED_K8qA,383
UC9asvkCaqykjPtg4j2lzD6w,103
janssenitaly,1810
leopharmaitalia,83
MenariniGroup,7930
UCnv1s5RoLxBr1Y-tD5zEYeQ,452
UCgrJ_NPIL5X72O9HC0A--hg,5
UC35EEHzhhhhPcfCkADWX9DA,1490
OmegaChefaro,1180
UCXbrt4DEyzoGYym7JOOTs7g,16200
GenzymeCorporate,793
UCGXIUJRxlalRdY3JtmgrlRQ,410
UC92f-5KiV-QgsGwHVZGTnJA,0
UCtibwDy2GE3-pFldM7AX5Cg,550
UCzFeB1STfnV_SbBY1E8Y2dQ,46
